"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","time"
"clean_bootstrap",0.9165,0,0.0081324739,6.90243e-05,6.46
"repro",0.996,0,0.0203676755,0.0001146357,1.22
"deconvolveR",0.996,0,0.0175151159,4.81192e-05,10.42
