"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","time"
"clean_bootstrap",0.9015,0,0.0014364959,5.285e-06,21.14
"repro",0.988,0,0.0025295335,1.0547e-05,1.21
"deconvolveR",0.9635,0,0.0019649699,5.5287e-06,25.14
