"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","CI coverage (mean): level=0.95","CI coverage2 (mean): level=0.95","CI width (mean): level=0.95","CI width (se): level=0.95","time"
"clean_bootstrap",0.91,0,0.003323766,6.8585e-06,0.9445,0,0.0039198948,8.445e-06,230.54
"deconvolveR",0.8925,0,0.0033991483,8.9576e-06,0.95,0,0.0042541889,1.17427e-05,233.95
