"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","CI coverage (mean): level=0.95","CI coverage2 (mean): level=0.95","CI width (mean): level=0.95","CI width (se): level=0.95","time"
"clean_bootstrap",0.9075,0,0.0004796911,8.306e-07,0.955,0,0.0005708522,9.833e-07,1043.92
"deconvolveR",0.911,0,0.0004961812,2.0706e-06,0.962,0,0.0006007808,2.0439e-06,1049.31
