"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","CI coverage (mean): level=0.95","CI coverage2 (mean): level=0.95","CI width (mean): level=0.95","CI width (se): level=0.95","time"
"clean_bootstrap",0.908,0,0.0160047359,3.86811e-05,0.952,0,0.0189892866,4.32469e-05,1375.93
"deconvolveR",0.905,0,0.016108999,3.86625e-05,0.953,0,0.0195055879,4.82678e-05,1379.3
