"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","time"
"clean_bootstrap",0.8935,0,0.000837095,2.4668e-06,58.06
"repro",0.9765,0,0.0012364108,3.7609e-06,1.22
"deconvolveR",0.9005,0,0.0008899958,2.7874e-06,62.17
