"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","CI coverage (mean): level=0.95","CI coverage2 (mean): level=0.95","CI width (mean): level=0.95","CI width (se): level=0.95","time"
"clean_bootstrap",0.9075,0,0.0375273427,0.000119186,0.947,0,0.04376212,0.000128945,28.33
"deconvolveR",0.8975,0,0.0413513039,0.000133284,0.9495,0,0.050962298,0.0001699016,31.97
