"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","CI coverage (mean): level=0.95","CI coverage2 (mean): level=0.95","CI width (mean): level=0.95","CI width (se): level=0.95","time"
"clean_bootstrap",0.9075,0,0.0004796911,8.306e-07,0.955,0,0.0005708522,9.833e-07,1045.34
"deconvolveR",0.9085,0,0.0004848118,9.363e-07,0.962,0,0.0005908381,1.0651e-06,1049.74
