"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","CI coverage (mean): level=0.95","CI coverage2 (mean): level=0.95","CI width (mean): level=0.95","CI width (se): level=0.95","time"
"clean_bootstrap",0.9025,5e-04,0.0914817656,0.0004601559,0.9025,5e-04,0.1061717541,0.0005082509,4.54
"deconvolveR",0.9355,5e-04,0.1279050966,0.0006844352,0.9795,0.002,0.1789303402,0.0009741938,8.03
