"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","time"
"clean_bootstrap",0.9125,0,0.0004710862,1.1403e-06,229.99
"repro",0.9685,0,0.0006427567,1.5344e-06,1.21
"deconvolveR",0.8995,0,0.0004794755,1.3015e-06,234.01
