"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","CI coverage (mean): level=0.95","CI coverage2 (mean): level=0.95","CI width (mean): level=0.95","CI width (se): level=0.95","time"
"clean_bootstrap",0.891,0,0.0032490888,9.1676e-06,0.93,0,0.0037731372,1.11432e-05,119.39
"deconvolveR",0.898,0,0.0034927936,1.14626e-05,0.957,0,0.0045481212,1.5833e-05,123.23
