"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","CI coverage (mean): level=0.95","CI coverage2 (mean): level=0.95","CI width (mean): level=0.95","CI width (se): level=0.95","time"
"clean_bootstrap",0.879,0,0.0008176828,2.7998e-06,0.92,0,0.0009508546,3.3649e-06,29.34
"deconvolveR",0.89,0,0.0008928068,3.4334e-06,0.9555,0,0.0011481225,4.6635e-06,32.91
