"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","CI coverage (mean): level=0.95","CI coverage2 (mean): level=0.95","CI width (mean): level=0.95","CI width (se): level=0.95","time"
"clean_bootstrap",0.896,0,0.0266517881,0.0001487904,0.9375,0,0.0307916849,0.0001298354,4.92
"deconvolveR",0.9915,0,0.0581125185,0.0001448093,0.9985,5e-04,0.0706592638,0.0001772639,8.54
