"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","CI coverage (mean): level=0.95","CI coverage2 (mean): level=0.95","CI width (mean): level=0.95","CI width (se): level=0.95","time"
"clean_bootstrap",0.8905,0,0.0409061774,0.0001577069,0.9205,0,0.0475097606,0.0001737593,4.98
"deconvolveR",1,0.068,0.1344850484,0.0004122192,1,0.295,0.1672014993,0.0005097982,8.69
