"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","CI coverage (mean): level=0.95","CI coverage2 (mean): level=0.95","CI width (mean): level=0.95","CI width (se): level=0.95","time"
"clean_bootstrap",0.9015,0,0.0014627336,4.8771e-06,0.9475,0,0.0017352424,5.8016e-06,37.5
"deconvolveR",0.8985,0,0.0014915048,4.9716e-06,0.959,0,0.0018493289,6.0602e-06,41.24
