"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","CI coverage (mean): level=0.95","CI coverage2 (mean): level=0.95","CI width (mean): level=0.95","CI width (se): level=0.95","time"
"clean_bootstrap",0.8985,0.896,0.011610977,1.68756e-05,0.946,0.9445,0.0137359091,2.07214e-05,8.24
"deconvolveR",1,1,0.0488518609,8.96017e-05,1,1,0.0587080561,0.0001085827,11.93
"DP-CI-ERM",0.883,0.883,0.0160848953,2.54086e-05,0.9445,0.945,0.0191663349,3.02762e-05,2.65
