"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","CI coverage (mean): level=0.95","CI coverage2 (mean): level=0.95","CI width (mean): level=0.95","CI width (se): level=0.95","time"
"clean_bootstrap",0.8995,0.303,0.0012136278,5.0758e-06,0.8995,0.303,0.0014020953,5.4741e-06,4.59
"deconvolveR",0.922,0.3515,0.0017066102,8.299e-06,0.978,0.5655,0.0023837211,1.17527e-05,8.37
"DP-CI-ERM",0.9005,0.254,0.0014820563,1.0987e-06,0.9535,0.367,0.0017659789,1.3092e-06,2.48
