"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","CI coverage (mean): level=0.95","CI coverage2 (mean): level=0.95","CI width (mean): level=0.95","CI width (se): level=0.95","time"
"clean_bootstrap",0.897,0.8985,0.0177774316,7.69285e-05,0.897,0.8985,0.0205286275,8.24873e-05,4.38
"deconvolveR",0.9745,0.975,0.0358191175,0.0001599907,0.997,0.997,0.0498093928,0.0002163431,8.4
"DP-CI-ERM",0.8865,0.884,0.0242056247,6.01748e-05,0.938,0.938,0.0288427808,7.17027e-05,2.55
