"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","CI coverage (mean): level=0.95","CI coverage2 (mean): level=0.95","CI width (mean): level=0.95","CI width (se): level=0.95","time"
"clean_bootstrap",0.8925,5e-04,0.0013920733,1.2349e-06,0.951,0.001,0.0016527044,1.562e-06,164.47
"deconvolveR",0.8955,5e-04,0.0014168867,2.2325e-06,0.955,5e-04,0.0017101916,2.7792e-06,168.02
"DP-CI-ERM",0.891,5e-04,0.0014074999,2.235e-07,0.9515,5e-04,0.0016771396,2.663e-07,2.97
