"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","CI coverage (mean): level=0.95","CI coverage2 (mean): level=0.95","CI width (mean): level=0.95","CI width (se): level=0.95","time"
"clean_bootstrap",0.8985,0.1585,0.0296388814,0.0001258698,0.8985,0.1585,0.0341759308,0.0001358536,4.58
"deconvolveR",1,0.9955,0.1716104163,0.0007107927,1,1,0.239576062,0.0009287737,8.11
"DP-CI-ERM",0.8975,0.6545,0.0809030768,0.0001092792,0.9515,0.761,0.096401962,0.0001302142,2.5
