"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","CI coverage (mean): level=0.95","CI coverage2 (mean): level=0.95","CI width (mean): level=0.95","CI width (se): level=0.95","time"
"clean_bootstrap",0.903,0,0.0286848009,5.63273e-05,0.9395,0,0.0338045588,6.53956e-05,58.37
"deconvolveR",0.892,0,0.0294849549,6.02407e-05,0.9535,0,0.0374221458,7.84146e-05,62.16
"DP-CI-ERM",0.9,0,0.0296337774,5.7384e-06,0.948,0,0.0353108237,6.8377e-06,3.34
