"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","CI coverage (mean): level=0.95","CI coverage2 (mean): level=0.95","CI width (mean): level=0.95","CI width (se): level=0.95","time"
"clean_bootstrap",0.8825,0,0.0103809077,2.75059e-05,0.9215,0,0.0120591661,3.34051e-05,24.27
"deconvolveR",0.894,0,0.01131625,3.08285e-05,0.9635,0,0.0148863685,4.18835e-05,27.55
"DP-CI-ERM",0.8915,0,0.0107910344,1.9947e-06,0.94,0,0.0128583105,2.3769e-06,2.89
