"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","CI coverage (mean): level=0.95","CI coverage2 (mean): level=0.95","CI width (mean): level=0.95","CI width (se): level=0.95","time"
"clean_bootstrap",0.901,0.562,0.0038252265,1.59605e-05,0.901,0.562,0.0044150628,1.72084e-05,4.71
"deconvolveR",0.9275,0.6075,0.0054637167,2.65551e-05,0.978,0.796,0.0076280556,3.80357e-05,8.28
"DP-CI-ERM",0.8975,0.52,0.004660343,3.9463e-06,0.9525,0.638,0.0055531412,4.7024e-06,2.48
