"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","CI coverage (mean): level=0.95","CI coverage2 (mean): level=0.95","CI width (mean): level=0.95","CI width (se): level=0.95","time"
"clean_bootstrap",0.89,0.5975,0.0024026593,3.6324e-06,0.94,0.7285,0.0028409354,4.5396e-06,4.52
"deconvolveR",1,1,0.0289413141,5.23008e-05,1,1,0.0347725453,6.32572e-05,8.1
"DP-CI-ERM",0.895,0.859,0.0070916013,6.561e-06,0.9445,0.916,0.0084501641,7.818e-06,2.41
