"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","CI coverage (mean): level=0.95","CI coverage2 (mean): level=0.95","CI width (mean): level=0.95","CI width (se): level=0.95","time"
"clean_bootstrap",0.899,0.489,0.0043559514,6.2166e-06,0.945,0.621,0.0051492442,7.8022e-06,8.69
"deconvolveR",1,1,0.0322641285,5.8247e-05,1,1,0.0387718614,7.04233e-05,12.38
"DP-CI-ERM",0.893,0.7665,0.0085557911,8.9665e-06,0.9485,0.8525,0.010194854,1.06843e-05,2.54
