"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","CI coverage (mean): level=0.95","CI coverage2 (mean): level=0.95","CI width (mean): level=0.95","CI width (se): level=0.95","time"
"clean_bootstrap",0.897,5e-04,0.0013575874,2.6776e-06,0.9355,0.002,0.0015944669,3.1942e-06,37.28
"deconvolveR",0.935,0.0015,0.0016553112,4.3737e-06,0.9755,0.003,0.0020248639,5.4571e-06,40.85
"DP-CI-ERM",0.8915,5e-04,0.0014467602,3.362e-07,0.949,5e-04,0.0017239211,4.006e-07,2.98
