"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","time"
"clean_bootstrap",0.893,0.6055,0.0023624146,4.8299e-06,4.91
"repro",0.996,0.994,0.023447568,0.0001561594,1.21
"deconvolveR",1,1,0.0229319586,5.39426e-05,9.02
"DP-CI-ERM",0.895,0.859,0.0070916013,6.561e-06,2.46
