"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","CI coverage (mean): level=0.95","CI coverage2 (mean): level=0.95","CI width (mean): level=0.95","CI width (se): level=0.95","time"
"clean_bootstrap",0.896,0.4985,0.0043122767,8.5629e-06,0.94,0.598,0.0050632866,1.03032e-05,5.36
"deconvolveR",1,0.997,0.0131069784,3.14223e-05,1,0.9995,0.0159203437,3.81267e-05,9.25
"DP-CI-ERM",0.8915,0.639,0.0057351589,7.2876e-06,0.9465,0.7355,0.0068338633,8.6838e-06,2.53
