"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","CI coverage (mean): level=0.95","CI coverage2 (mean): level=0.95","CI width (mean): level=0.95","CI width (se): level=0.95","time"
"clean_bootstrap",0.895,0,0.0060096817,3.8341e-06,0.9525,0,0.0071492879,4.8874e-06,1310.18
"deconvolveR",0.987,0,0.0092864532,1.17452e-05,0.9955,0,0.011080858,1.4128e-05,1313.45
"DP-CI-ERM",0.8955,0,0.0059972752,9.165e-07,0.9445,0,0.0071461941,1.0921e-06,4.68
