"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","CI coverage (mean): level=0.95","CI coverage2 (mean): level=0.95","CI width (mean): level=0.95","CI width (se): level=0.95","time"
"clean_bootstrap",0.904,0.1535,0.0021154096,8.8327e-06,0.904,0.1535,0.0024362521,9.5176e-06,4.6
"deconvolveR",0.909,0.1475,0.0027606635,1.30718e-05,0.9715,0.2965,0.0038781852,1.86253e-05,8.15
"DP-CI-ERM",0.8915,0.0975,0.0024624652,8.366e-07,0.95,0.1525,0.0029342083,9.969e-07,2.78
