"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","CI coverage (mean): level=0.95","CI coverage2 (mean): level=0.95","CI width (mean): level=0.95","CI width (se): level=0.95","time"
"clean_bootstrap",0.9085,0,0.0002135658,8.799e-07,0.9085,0,0.0002460011,9.415e-07,23.98
"deconvolveR",0.9055,0,0.0002770063,1.2296e-06,0.9725,0,0.0003903667,1.7428e-06,27.67
"DP-CI-ERM",0.898,0,0.0002474632,2.22e-08,0.949,0,0.0002948706,2.65e-08,4.86
