"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","CI coverage (mean): level=0.95","CI coverage2 (mean): level=0.95","CI width (mean): level=0.95","CI width (se): level=0.95","time"
"clean_bootstrap",0.898,0.096,0.0023897398,3.3063e-06,0.947,0.1565,0.0028253671,4.1093e-06,24.8
"deconvolveR",1,0.9975,0.0097669696,1.79408e-05,1,1,0.0117384404,2.16486e-05,28.86
"DP-CI-ERM",0.898,0.286,0.0032643915,2.2838e-06,0.948,0.4065,0.0038897623,2.7214e-06,2.68
