"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","CI coverage (mean): level=0.95","CI coverage2 (mean): level=0.95","CI width (mean): level=0.95","CI width (se): level=0.95","time"
"clean_bootstrap",0.8995,0.091,0.0024137732,1.6628e-06,0.9475,0.1405,0.0028732396,2.109e-06,111.57
"deconvolveR",0.987,0.312,0.003718019,4.6936e-06,0.994,0.4985,0.004436602,5.6477e-06,115.28
"DP-CI-ERM",0.8915,0.0975,0.0024624652,8.366e-07,0.95,0.1525,0.0029342083,9.969e-07,2.6
