"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","CI coverage (mean): level=0.95","CI coverage2 (mean): level=0.95","CI width (mean): level=0.95","CI width (se): level=0.95","time"
"clean_bootstrap",0.904,0.8985,0.0032490121,1.3272e-05,0.904,0.8985,0.0037434797,1.44208e-05,9.26
"deconvolveR",0.9765,0.9765,0.0061539887,2.82273e-05,0.996,0.997,0.0085474276,3.85133e-05,12.89
"DP-CI-ERM",0.888,0.885,0.0043289892,1.8975e-06,0.9485,0.945,0.0051583088,2.261e-06,3.07
