"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","time"
"clean_bootstrap",0.898,0,0.0004279438,8.577e-07,31.92
"repro",0.99,5e-04,0.0009621216,4.685e-06,1.22
"deconvolveR",0.995,0,0.000826282,2.0109e-06,36.36
"DP-CI-ERM",0.8995,0,0.0004985508,1.486e-07,2.96
