"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","CI coverage (mean): level=0.95","CI coverage2 (mean): level=0.95","CI width (mean): level=0.95","CI width (se): level=0.95","time"
"clean_bootstrap",0.9085,0,0.0002135658,8.799e-07,0.9085,0,0.0002460011,9.415e-07,23.84
"deconvolveR",0.912,0,0.0002774697,1.1598e-06,0.975,0,0.0003900625,1.6633e-06,27.59
"DP-CI-ERM",0.899,0,0.0002456298,1.92e-08,0.946,0,0.0002926859,2.29e-08,4.74
