"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","CI coverage (mean): level=0.95","CI coverage2 (mean): level=0.95","CI width (mean): level=0.95","CI width (se): level=0.95","time"
"clean_bootstrap",0.9015,5e-04,0.0908830237,0.0001814115,0.9405,0.001,0.1068576432,0.0002170876,7.4
"deconvolveR",1,0.878,0.3874157591,0.0009190544,1,0.9765,0.4704433125,0.0011127428,11.1
"DP-CI-ERM",0.884,0.0515,0.1436450918,0.0003215999,0.943,0.0905,0.171163684,0.0003832099,2.58
