"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","CI coverage (mean): level=0.95","CI coverage2 (mean): level=0.95","CI width (mean): level=0.95","CI width (se): level=0.95","time"
"clean_bootstrap",0.8965,0.093,0.0024090904,2.2223e-06,0.949,0.147,0.0028650807,2.7932e-06,59.71
"deconvolveR",1,1,0.0133125391,1.85909e-05,1,1,0.0159040817,2.23547e-05,63.62
"DP-CI-ERM",0.898,0.286,0.0032643915,2.2838e-06,0.948,0.4065,0.0038897623,2.7214e-06,2.64
