"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","CI coverage (mean): level=0.95","CI coverage2 (mean): level=0.95","CI width (mean): level=0.95","CI width (se): level=0.95","time"
"clean_bootstrap",0.8965,0,0.0004384296,4.284e-07,0.954,0,0.000520787,5.227e-07,137.37
"deconvolveR",1,0.0095,0.0013533844,1.8962e-06,1,0.097,0.00161705,2.2832e-06,141.02
"DP-CI-ERM",0.8995,0,0.0004985508,1.486e-07,0.9465,0,0.0005940599,1.77e-07,2.94
