"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","CI coverage (mean): level=0.95","CI coverage2 (mean): level=0.95","CI width (mean): level=0.95","CI width (se): level=0.95","time"
"clean_bootstrap",0.8895,0.8905,0.0064258489,5.9708e-06,0.9475,0.9455,0.0076401461,7.4771e-06,52.94
"deconvolveR",1,1,0.0202658963,2.85588e-05,1,1,0.0242132283,3.43799e-05,56.07
"DP-CI-ERM",0.8985,0.8955,0.0072432611,5.2208e-06,0.9495,0.946,0.0086308779,6.2209e-06,2.4
