"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","CI coverage (mean): level=0.95","CI coverage2 (mean): level=0.95","CI width (mean): level=0.95","CI width (se): level=0.95","time"
"clean_bootstrap",0.8745,0.8785,0.0061184787,1.64882e-05,0.916,0.915,0.0070821727,1.92908e-05,7.48
"deconvolveR",0.979,0.9785,0.0104729213,3.3877e-05,0.9975,0.9965,0.013062884,4.26904e-05,11.2
"DP-CI-ERM",0.8985,0.8955,0.0072432611,5.2208e-06,0.9495,0.946,0.0086308779,6.2209e-06,2.64
