"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","CI coverage (mean): level=0.95","CI coverage2 (mean): level=0.95","CI width (mean): level=0.95","CI width (se): level=0.95","time"
"clean_bootstrap",0.898,0,0.0058621412,1.11855e-05,0.9395,0,0.0068934319,1.30875e-05,143.43
"deconvolveR",0.902,0,0.0062255281,1.62866e-05,0.952,0,0.0077038734,2.10462e-05,147.19
"DP-CI-ERM",0.8955,0,0.0059972752,9.165e-07,0.9445,0,0.0071461941,1.0921e-06,5.4
