"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","CI coverage (mean): level=0.95","CI coverage2 (mean): level=0.95","CI width (mean): level=0.95","CI width (se): level=0.95","time"
"clean_bootstrap",0.9,0,0.0059277661,8.0698e-06,0.9445,0,0.0070141521,1.01648e-05,273.2
"deconvolveR",0.886,0,0.0059045017,9.3657e-06,0.9525,0,0.0073386619,1.185e-05,276.63
"DP-CI-ERM",0.891,0,0.0059131482,6.22e-07,0.9455,0,0.0070459506,7.412e-07,4.86
