"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","CI coverage (mean): level=0.95","CI coverage2 (mean): level=0.95","CI width (mean): level=0.95","CI width (se): level=0.95","time"
"clean_bootstrap",0.8965,0,0.0004384296,4.284e-07,0.954,0,0.000520787,5.227e-07,137.43
"deconvolveR",0.9915,0,0.0007242291,1.0682e-06,0.997,0,0.0008660525,1.2904e-06,140.79
"DP-CI-ERM",0.899,0,0.000460992,9.49e-08,0.9495,0,0.0005493059,1.131e-07,2.69
