"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","CI coverage (mean): level=0.95","CI coverage2 (mean): level=0.95","CI width (mean): level=0.95","CI width (se): level=0.95","time"
"clean_bootstrap",0.876,0.001,0.0888506143,0.0002374425,0.921,0.002,0.10268989,0.0002801814,4.69
"deconvolveR",1,0.9965,0.6176206111,0.0018721046,1,1,0.7672002211,0.0022949585,8.41
"DP-CI-ERM",0.8995,0.358,0.2395497798,0.0003387265,0.9495,0.4765,0.2854411682,0.0004036176,2.61
