"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","CI coverage (mean): level=0.95","CI coverage2 (mean): level=0.95","CI width (mean): level=0.95","CI width (se): level=0.95","time"
"clean_bootstrap",0.8765,5e-04,0.017978864,4.7925e-05,0.92,5e-04,0.0208049684,5.74117e-05,8.79
"deconvolveR",0.889,0.001,0.019388399,5.88131e-05,0.957,0.0035,0.0253565676,8.07502e-05,12.45
"DP-CI-ERM",0.8825,5e-04,0.0187615172,7.2585e-06,0.94,0.001,0.0223557267,8.6491e-06,2.71
