"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","CI coverage (mean): level=0.95","CI coverage2 (mean): level=0.95","CI width (mean): level=0.95","CI width (se): level=0.95","time"
"clean_bootstrap",0.881,0.468,0.0041876083,1.11457e-05,0.924,0.555,0.0048577806,1.34184e-05,3.92
"deconvolveR",0.889,0.502,0.0045382711,1.50219e-05,0.955,0.6615,0.0058752633,2.09341e-05,7.66
"DP-CI-ERM",0.8975,0.497,0.0044860102,2.6303e-06,0.9525,0.6135,0.0053454109,3.1342e-06,2.74
