"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","CI coverage (mean): level=0.95","CI coverage2 (mean): level=0.95","CI width (mean): level=0.95","CI width (se): level=0.95","time"
"clean_bootstrap",0.898,0.897,0.002038773,1.3001e-06,0.9485,0.947,0.0024249836,1.6532e-06,1046.18
"deconvolveR",0.891,0.886,0.0020091645,2.2129e-06,0.946,0.9445,0.0024284498,2.7498e-06,1049.59
"DP-CI-ERM",0.9015,0.895,0.0020491233,1.842e-07,0.9485,0.9485,0.0024416811,2.195e-07,4.34
