"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","CI coverage (mean): level=0.95","CI coverage2 (mean): level=0.95","CI width (mean): level=0.95","CI width (se): level=0.95","time"
"clean_bootstrap",0.9,0.8925,0.0020324352,1.8157e-06,0.9455,0.943,0.0024159126,2.2416e-06,527.93
"deconvolveR",0.898,0.892,0.0020365642,1.7865e-06,0.9505,0.9525,0.0024903424,2.1494e-06,531.41
"DP-CI-ERM",0.903,0.893,0.002046001,1.744e-07,0.9505,0.9465,0.0024379606,2.078e-07,4.18
