"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","CI coverage (mean): level=0.95","CI coverage2 (mean): level=0.95","CI width (mean): level=0.95","CI width (se): level=0.95","time"
"clean_bootstrap",0.896,0.1065,0.1562321711,0.0003269275,0.9305,0.158,0.1834725349,0.0003964676,4.17
"deconvolveR",0.9865,0.363,0.2568935343,0.0006487091,0.9955,0.567,0.3127190158,0.0007974758,7.77
"DP-CI-ERM",0.882,0.141,0.173296999,0.0005085195,0.932,0.2165,0.2064961108,0.0006059383,2.51
