"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","CI coverage (mean): level=0.95","CI coverage2 (mean): level=0.95","CI width (mean): level=0.95","CI width (se): level=0.95","time"
"clean_bootstrap",0.9045,0,0.0007541588,1.0641e-06,0.9485,0,0.0008923117,1.3374e-06,241.77
"deconvolveR",0.9,0,0.0007748216,1.618e-06,0.951,0,0.0009448584,2.0465e-06,245.13
"DP-CI-ERM",0.9,0,0.000774564,7.55e-08,0.949,0,0.00092295,8.99e-08,4.68
