"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","CI coverage (mean): level=0.95","CI coverage2 (mean): level=0.95","CI width (mean): level=0.95","CI width (se): level=0.95","time"
"clean_bootstrap",0.9045,0,0.0007541588,1.0641e-06,0.9485,0,0.0008923117,1.3374e-06,241.44
"deconvolveR",0.978,0,0.0011004402,2.2058e-06,0.989,0,0.0013259085,2.6975e-06,245.01
"DP-CI-ERM",0.897,0,0.0007974434,1.081e-07,0.95,0,0.0009502124,1.289e-07,4.61
