"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","CI coverage (mean): level=0.95","CI coverage2 (mean): level=0.95","CI width (mean): level=0.95","CI width (se): level=0.95","time"
"clean_bootstrap",0.8785,0.881,0.0035308256,9.3473e-06,0.9185,0.9175,0.0040980539,1.13565e-05,19.08
"deconvolveR",0.8865,0.884,0.0037919974,1.15082e-05,0.96,0.964,0.0049594917,1.59185e-05,22.72
"DP-CI-ERM",0.8895,0.8885,0.0037589564,6.942e-07,0.953,0.9485,0.0044790728,8.272e-07,2.98
