"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","CI coverage (mean): level=0.95","CI coverage2 (mean): level=0.95","CI width (mean): level=0.95","CI width (se): level=0.95","time"
"clean_bootstrap",0.8905,0.751,0.0075289324,1.15152e-05,0.9385,0.8455,0.0088996929,1.42683e-05,4.75
"deconvolveR",0.9775,0.9135,0.0110006976,2.17059e-05,0.992,0.967,0.0132548761,2.65758e-05,8.54
"DP-CI-ERM",0.882,0.748,0.0079594734,1.08671e-05,0.94,0.8425,0.0094842975,1.2949e-05,2.43
