"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","CI coverage (mean): level=0.95","CI coverage2 (mean): level=0.95","CI width (mean): level=0.95","CI width (se): level=0.95","time"
"clean_bootstrap",0.898,0.002,0.0809948421,0.0003443201,0.898,0.002,0.0933349611,0.0003735134,4.92
"deconvolveR",0.9075,0.003,0.1077009478,0.0005334362,0.9715,0.037,0.1514689232,0.0007655709,8.3
"DP-CI-ERM",0.8955,5e-04,0.0958779304,0.0001076424,0.947,0.0015,0.1142456006,0.0001282639,2.5
