"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","CI coverage (mean): level=0.95","CI coverage2 (mean): level=0.95","CI width (mean): level=0.95","CI width (se): level=0.95","time"
"clean_bootstrap",0.894,0,0.0511281769,3.56644e-05,0.942,0,0.0607880656,4.48999e-05,180.45
"deconvolveR",1,0.9995,0.5026974649,0.0005836429,1,1,0.5993181486,0.0006987159,184.4
"DP-CI-ERM",0.892,0,0.0831034322,0.0001003278,0.9465,0,0.0990238471,0.000119548,2.85
