"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","CI coverage (mean): level=0.95","CI coverage2 (mean): level=0.95","CI width (mean): level=0.95","CI width (se): level=0.95","time"
"clean_bootstrap",0.896,0.0975,0.0023593967,4.598e-06,0.935,0.1545,0.0027686056,5.5233e-06,13.46
"deconvolveR",0.8905,0.11,0.0025000594,6.6e-06,0.955,0.195,0.0030932723,8.5473e-06,17.19
"DP-CI-ERM",0.8915,0.0975,0.0024624652,8.366e-07,0.95,0.1525,0.0029342083,9.969e-07,2.71
