"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","CI coverage (mean): level=0.95","CI coverage2 (mean): level=0.95","CI width (mean): level=0.95","CI width (se): level=0.95","time"
"clean_bootstrap",0.9,0,0.0059277661,8.0698e-06,0.9445,0,0.0070141521,1.01648e-05,275.29
"deconvolveR",0.891,0,0.0060258145,7.7285e-06,0.957,0,0.0074926848,9.6397e-06,278.6
"DP-CI-ERM",0.8865,0,0.0059011481,5.665e-07,0.946,0,0.0070316517,6.75e-07,4.84
