"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","CI coverage (mean): level=0.95","CI coverage2 (mean): level=0.95","CI width (mean): level=0.95","CI width (se): level=0.95","time"
"clean_bootstrap",0.9035,0,0.0002372283,4.576e-07,0.937,0,0.0002790965,5.332e-07,93.94
"deconvolveR",0.893,0,0.0002461093,4.55e-07,0.9535,0,0.0003131038,5.868e-07,97.71
"DP-CI-ERM",0.899,0,0.0002456298,1.92e-08,0.946,0,0.0002926859,2.29e-08,4.72
