"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","time"
"clean_bootstrap",0.9035,0,0.0002372283,4.576e-07,97.97
"repro",0.9785,0,0.0003912836,1.2955e-06,1.22
"deconvolveR",0.9415,0,0.0002943409,7.582e-07,102.41
"DP-CI-ERM",0.896,0,0.0002539211,3.04e-08,5.06
