"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","CI coverage (mean): level=0.95","CI coverage2 (mean): level=0.95","CI width (mean): level=0.95","CI width (se): level=0.95","time"
"clean_bootstrap",0.9,0.8925,0.0020324352,1.8157e-06,0.9455,0.943,0.0024159126,2.2416e-06,527.44
"deconvolveR",0.947,0.9435,0.0024554501,3.8614e-06,0.978,0.978,0.0029421864,4.7034e-06,530.93
"DP-CI-ERM",0.9015,0.8925,0.0020710345,2.42e-07,0.9475,0.945,0.0024677898,2.884e-07,4.38
