"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","CI coverage (mean): level=0.95","CI coverage2 (mean): level=0.95","CI width (mean): level=0.95","CI width (se): level=0.95","time"
"clean_bootstrap",0.8765,5e-04,0.017978864,4.7925e-05,0.92,5e-04,0.0208049684,5.74117e-05,8.72
"deconvolveR",0.991,0.0175,0.0339297619,0.000108181,0.9985,0.0755,0.0422895242,0.0001360561,12.39
"DP-CI-ERM",0.8855,0.001,0.0215800377,2.12492e-05,0.942,0.004,0.0257142009,2.53199e-05,2.8
