"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","CI coverage (mean): level=0.95","CI coverage2 (mean): level=0.95","CI width (mean): level=0.95","CI width (se): level=0.95","time"
"clean_bootstrap",0.8915,0.4875,0.0570632524,0.0001206207,0.931,0.587,0.0670065744,0.0001450718,3.98
"deconvolveR",0.98,0.7465,0.0876919916,0.0002241156,0.9945,0.8635,0.1068120286,0.0002760877,7.55
"DP-CI-ERM",0.881,0.516,0.0625503556,0.0001529404,0.9335,0.6395,0.0745333458,0.0001822397,2.42
