"method","CI coverage (mean): level=0.9","CI coverage2 (mean): level=0.9","CI width (mean): level=0.9","CI width (se): level=0.9","CI coverage (mean): level=0.95","CI coverage2 (mean): level=0.95","CI width (mean): level=0.95","CI width (se): level=0.95","time"
"clean_bootstrap",0.8915,0.8915,0.019744727,4.0632e-05,0.93,0.931,0.0232534034,4.91774e-05,3.98
"deconvolveR",0.9635,0.9635,0.0273966038,7.13415e-05,0.988,0.988,0.0334179887,8.87976e-05,7.74
"DP-CI-ERM",0.883,0.8825,0.0214138759,3.75566e-05,0.9325,0.9345,0.025516207,4.47515e-05,2.42
